state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alaska,02013,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02016,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02020,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02050,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02060,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02068,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02070,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02090,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02100,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02105,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02110,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02122,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02130,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02150,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02164,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02170,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02180,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02185,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02188,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02195,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02198,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02220,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02230,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02240,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02261,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02270,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02275,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02282,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alaska,02290,Alaska,130413,93003,246588,37410,0.528870018,0.377159472,0.151710546
Alabama,01001,Autauga County,18110,5908,24661,12202,0.734357893,0.23956855,0.494789343
Alabama,01003,Baldwin County,72780,18409,94090,54371,0.77351472,0.195653098,0.577861622
Alabama,01005,Barbour County,5431,4848,10390,583,0.522714148,0.466602502,0.056111646
Alabama,01007,Bibb County,6733,1874,8748,4859,0.769661637,0.214220393,0.555441244
Alabama,01009,Blount County,22808,2150,25384,20658,0.898518752,0.084699023,0.813819729
Alabama,01011,Bullock County,1139,3530,4701,-2391,0.242288875,0.750904063,-0.508615188
Alabama,01013,Butler County,4891,3716,8685,1175,0.563154865,0.427864134,0.135290731
Alabama,01015,Calhoun County,32803,13197,47376,19606,0.692396994,0.278558764,0.41383823
Alabama,01017,Chambers County,7803,5763,13778,2040,0.56633764,0.418275512,0.148062128
Alabama,01019,Cherokee County,8809,1524,10503,7285,0.838712749,0.1451014,0.693611349
Alabama,01021,Chilton County,15068,2909,18255,12159,0.825417694,0.159353602,0.666064092
Alabama,01023,Choctaw County,4102,3109,7268,993,0.564391855,0.427765548,0.136626307
Alabama,01025,Clarke County,7109,5712,12936,1397,0.549551639,0.441558442,0.107993197
Alabama,01027,Clay County,5230,1234,6572,3996,0.795800365,0.187766281,0.608034084
Alabama,01029,Cleburne County,5738,684,6532,5054,0.878444581,0.104715248,0.773729333
Alabama,01031,Coffee County,15825,4194,20513,11631,0.771462,0.204455711,0.567006289
Alabama,01033,Colbert County,16718,7296,24626,9422,0.678875985,0.296272233,0.382603752
Alabama,01035,Conecuh County,3413,3069,6543,344,0.521626165,0.469050894,0.052575271
Alabama,01037,Coosa County,3376,1780,5223,1596,0.646371817,0.340800306,0.305571511
Alabama,01039,Covington County,13222,2379,15818,10843,0.835883171,0.15039828,0.685484891
Alabama,01041,Crenshaw County,4511,1663,6252,2848,0.721529111,0.265994882,0.455534229
Alabama,01043,Cullman County,32734,3730,37278,29004,0.878105049,0.100059016,0.778046033
Alabama,01045,Dale County,13798,4408,18617,9390,0.741150561,0.236772842,0.504377719
Alabama,01047,Dallas County,5784,12826,18730,-7042,0.308809397,0.684783769,-0.375974372
Alabama,01049,DeKalb County,21779,3682,26086,18097,0.834892279,0.141148509,0.69374377
Alabama,01051,Elmore County,27619,8436,36905,19183,0.748380978,0.228586912,0.519794066
Alabama,01053,Escambia County,10282,4698,15213,5584,0.675869322,0.308814829,0.367054493
Alabama,01055,Etowah County,32132,10350,43474,21782,0.739108433,0.238073331,0.501035102
Alabama,01057,Fayette County,6705,1358,8196,5347,0.818081991,0.165690581,0.65239141
Alabama,01059,Franklin County,9466,2197,11955,7269,0.791802593,0.18377248,0.608030113
Alabama,01061,Geneva County,9967,1522,11659,8445,0.854876061,0.130542928,0.724333133
Alabama,01063,Greene County,838,4006,4862,-3168,0.172357055,0.823940765,-0.65158371
Alabama,01065,Hale County,3172,4772,8010,-1600,0.396004994,0.595755306,-0.199750312
Alabama,01067,Henry County,5623,2286,8017,3337,0.701384558,0.285144069,0.416240489
Alabama,01069,Houston County,30567,10547,42030,20020,0.727266238,0.250939805,0.476326433
Alabama,01071,Jackson County,16643,3663,20785,12980,0.800721674,0.17623286,0.624488814
Alabama,01073,Jefferson County,130614,151581,290111,-20967,0.450220778,0.522493115,-0.072272337
Alabama,01075,Lamar County,5819,1035,6931,4784,0.839561391,0.149329101,0.69023229
Alabama,01077,Lauderdale County,27735,9877,38813,17858,0.714580166,0.254476593,0.460103573
Alabama,01079,Lawrence County,10732,3611,14623,7121,0.73391233,0.246939752,0.486972578
Alabama,01081,Lee County,34321,20987,57668,13334,0.595148089,0.363928002,0.231220087
Alabama,01083,Limestone County,28824,9340,39400,19484,0.731573604,0.237055838,0.494517766
Alabama,01085,Lowndes County,1751,4882,6676,-3131,0.262282804,0.731276213,-0.468993409
Alabama,01087,Macon County,1394,7237,8748,-5843,0.159350709,0.827274806,-0.667924097
Alabama,01089,Madison County,89199,62435,159473,26764,0.559336063,0.39150828,0.167827783
Alabama,01091,Marengo County,5224,5607,10948,-383,0.477164779,0.512148338,-0.034983559
Alabama,01093,Marion County,11273,1432,12912,9841,0.873063817,0.110904585,0.762159232
Alabama,01095,Marshall County,29217,4913,34965,24304,0.835607036,0.140511941,0.695095095
Alabama,01097,Mobile County,91087,68429,163387,22658,0.557492334,0.41881545,0.138676884
Alabama,01099,Monroe County,5771,4310,10185,1461,0.566617575,0.42317133,0.143446245
Alabama,01101,Montgomery County,33928,58669,94572,-24741,0.358753119,0.620363321,-0.261610202
Alabama,01103,Morgan County,37392,11216,49991,26176,0.747974635,0.224360385,0.52361425
Alabama,01105,Perry County,1403,3823,5255,-2420,0.266983825,0.727497621,-0.460513796
Alabama,01107,Pickens County,5454,3972,9494,1482,0.574468085,0.418369497,0.156098588
Alabama,01109,Pike County,7681,5039,13025,2642,0.589712092,0.386871401,0.202840691
Alabama,01111,Randolph County,7697,2290,10130,5407,0.75982231,0.226061204,0.533761106
Alabama,01113,Russell County,9210,9577,19136,-367,0.481291806,0.500470318,-0.019178512
Alabama,01117,Shelby County,72846,22927,99208,49919,0.734275462,0.231100314,0.503175148
Alabama,01115,St. Clair County,31579,5550,37937,26029,0.832406358,0.146295174,0.686111184
Alabama,01119,Sumter County,1581,4739,6391,-3158,0.247379127,0.741511501,-0.494132374
Alabama,01121,Talladega County,20596,12108,33218,8488,0.620025287,0.364501174,0.255524113
Alabama,01123,Tallapoosa County,12967,5271,18504,7696,0.700767402,0.284857328,0.415910074
Alabama,01125,Tuscaloosa County,47701,31746,81708,15955,0.583798404,0.388529887,0.195268517
Alabama,01127,Walker County,24208,4486,29243,19722,0.827822043,0.153404233,0.67441781
Alabama,01129,Washington County,6031,2366,8492,3665,0.710197833,0.278615167,0.431582666
Alabama,01131,Wilcox County,1737,4329,6095,-2592,0.284987695,0.710254307,-0.425266612
